"Identity","SamAccountName","DisplayName","ObjectClass","EmployeeId","EmployeeNumber","UserPrincipalName","Mail","Department","Title","Company","Office","AccountEnabled","Manager","ManagerLevel1","ManagerLevel2","ObsPath","ObsAttribute","DistinguishedName"
"BUILTIN\Administrators","Administrators","Administrators","group","","","","","","","","","","","","","","info","CN=Administrators,CN=Builtin,DC=lab,DC=contoso,DC=com"
"BUILTIN\Domain Admins","Domain Admins","Domain Admins","group","","","","","","","","","","","","","","info","CN=Domain Admins,CN=Users,DC=lab,DC=contoso,DC=com"
"BUILTIN\Administrator","Administrator","","user","","","","","","","","","True","","","","","info","CN=Administrator,CN=Users,DC=lab,DC=contoso,DC=com"
"BUILTIN\Enterprise Admins","Enterprise Admins","Enterprise Admins","group","","","","","","","","","","","","","","info","CN=Enterprise Admins,CN=Users,DC=lab,DC=contoso,DC=com"
"LAB\SS-Finance-Readers","SS-Finance-Readers","SS-Finance-Readers","group","","","","","","","","","","","","","CORP.FIN.ACCESS.READ","info","CN=SS-Finance-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\Ava.Accounting","Ava.Accounting","Ava Accounting","user","E1001","1001","Ava.Accounting@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.FIN.AP","info","CN=Ava Accounting,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\Noah.Payroll","Noah.Payroll","Noah Payroll","user","E1002","1002","Noah.Payroll@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.FIN.PAY","info","CN=Noah Payroll,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-Eng-Readers","SS-Eng-Readers","SS-Eng-Readers","group","","","","","","","","","","","","","CORP.ENG.ACCESS.READ","info","CN=SS-Eng-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\Mia.Engineering","Mia.Engineering","Mia Engineering","user","E2001","2001","Mia.Engineering@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.ENG.PLAT","info","CN=Mia Engineering,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\Parker.Manager","Parker.Manager","Parker Manager","user","M2001","9002","Parker.Manager@example.test","","","","","","True","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","","CORP.ENG","info","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-Operations-Owners","SS-Operations-Owners","SS-Operations-Owners","group","","","","","","","","","","","","","CORP.OPS.ACCESS.OWNER","info","CN=SS-Operations-Owners,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\Leo.Operations","Leo.Operations","Leo Operations","user","E3001","3001","Leo.Operations@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.OPS.FILE","info","CN=Leo Operations,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\Quinn.Manager","Quinn.Manager","Quinn Manager","user","M3001","9003","Quinn.Manager@example.test","","","","","","True","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","","CORP.OPS","info","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0001-Readers","SS-ENT-0001-Readers","SS-ENT-0001-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0001.READ","info","CN=SS-ENT-0001-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00001","SSUser00001","ShareSurfer User 00001","user","E0000001","0000001","SSUser00001@example.test","","","","","","False","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.FIN.UNIT001","info","CN=ShareSurfer User 00001,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00002","SSUser00002","ShareSurfer User 00002","user","E0000002","0000002","SSUser00002@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.ENG.UNIT011","info","CN=ShareSurfer User 00002,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0002-Readers","SS-ENT-0002-Readers","SS-ENT-0002-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0002.READ","info","CN=SS-ENT-0002-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00003","SSUser00003","ShareSurfer User 00003","user","E0000003","0000003","SSUser00003@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.OPS.UNIT021","info","CN=ShareSurfer User 00003,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0003-Readers","SS-ENT-0003-Readers","SS-ENT-0003-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0003.READ","info","CN=SS-ENT-0003-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00004","SSUser00004","ShareSurfer User 00004","user","E0000004","0000004","SSUser00004@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.HR.UNIT031","info","CN=ShareSurfer User 00004,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0004-Readers","SS-ENT-0004-Readers","SS-ENT-0004-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0004.READ","info","CN=SS-ENT-0004-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00005","SSUser00005","ShareSurfer User 00005","user","E0000005","0000005","SSUser00005@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.LEGAL.UNIT041","info","CN=ShareSurfer User 00005,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0005-Readers","SS-ENT-0005-Readers","SS-ENT-0005-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0005.READ","info","CN=SS-ENT-0005-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00006","SSUser00006","ShareSurfer User 00006","user","E0000006","0000006","SSUser00006@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.SALES.UNIT051","info","CN=ShareSurfer User 00006,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0006-Readers","SS-ENT-0006-Readers","SS-ENT-0006-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0006.READ","info","CN=SS-ENT-0006-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00007","SSUser00007","ShareSurfer User 00007","user","E0000007","0000007","SSUser00007@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.MKT.UNIT061","info","CN=ShareSurfer User 00007,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0007-Readers","SS-ENT-0007-Readers","SS-ENT-0007-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0007.READ","info","CN=SS-ENT-0007-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00008","SSUser00008","ShareSurfer User 00008","user","E0000008","0000008","SSUser00008@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.RISK.UNIT071","info","CN=ShareSurfer User 00008,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0008-Readers","SS-ENT-0008-Readers","SS-ENT-0008-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0008.READ","info","CN=SS-ENT-0008-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00009","SSUser00009","ShareSurfer User 00009","user","E0000009","0000009","SSUser00009@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.FIN.UNIT081","info","CN=ShareSurfer User 00009,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0009-Readers","SS-ENT-0009-Readers","SS-ENT-0009-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0009.READ","info","CN=SS-ENT-0009-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00010","SSUser00010","ShareSurfer User 00010","user","E0000010","0000010","SSUser00010@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.ENG.UNIT091","info","CN=ShareSurfer User 00010,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0010-Readers","SS-ENT-0010-Readers","SS-ENT-0010-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0010.READ","info","CN=SS-ENT-0010-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00011","SSUser00011","ShareSurfer User 00011","user","E0000011","0000011","SSUser00011@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.OPS.UNIT101","info","CN=ShareSurfer User 00011,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0011-Readers","SS-ENT-0011-Readers","SS-ENT-0011-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0011.READ","info","CN=SS-ENT-0011-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00012","SSUser00012","ShareSurfer User 00012","user","E0000012","0000012","SSUser00012@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.HR.UNIT111","info","CN=ShareSurfer User 00012,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0012-Readers","SS-ENT-0012-Readers","SS-ENT-0012-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0012.READ","info","CN=SS-ENT-0012-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00013","SSUser00013","ShareSurfer User 00013","user","E0000013","0000013","SSUser00013@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.LEGAL.UNIT121","info","CN=ShareSurfer User 00013,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0013-Readers","SS-ENT-0013-Readers","SS-ENT-0013-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0013.READ","info","CN=SS-ENT-0013-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00014","SSUser00014","ShareSurfer User 00014","user","E0000014","0000014","SSUser00014@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.SALES.UNIT131","info","CN=ShareSurfer User 00014,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0014-Readers","SS-ENT-0014-Readers","SS-ENT-0014-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0014.READ","info","CN=SS-ENT-0014-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00015","SSUser00015","ShareSurfer User 00015","user","E0000015","0000015","SSUser00015@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.MKT.UNIT141","info","CN=ShareSurfer User 00015,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0015-Readers","SS-ENT-0015-Readers","SS-ENT-0015-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0015.READ","info","CN=SS-ENT-0015-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00016","SSUser00016","ShareSurfer User 00016","user","E0000016","0000016","SSUser00016@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.RISK.UNIT151","info","CN=ShareSurfer User 00016,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0016-Readers","SS-ENT-0016-Readers","SS-ENT-0016-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0016.READ","info","CN=SS-ENT-0016-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00017","SSUser00017","ShareSurfer User 00017","user","E0000017","0000017","SSUser00017@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.FIN.UNIT161","info","CN=ShareSurfer User 00017,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0017-Readers","SS-ENT-0017-Readers","SS-ENT-0017-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0017.READ","info","CN=SS-ENT-0017-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00018","SSUser00018","ShareSurfer User 00018","user","E0000018","0000018","SSUser00018@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.ENG.UNIT171","info","CN=ShareSurfer User 00018,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0018-Readers","SS-ENT-0018-Readers","SS-ENT-0018-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0018.READ","info","CN=SS-ENT-0018-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00019","SSUser00019","ShareSurfer User 00019","user","E0000019","0000019","SSUser00019@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.OPS.UNIT181","info","CN=ShareSurfer User 00019,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0019-Readers","SS-ENT-0019-Readers","SS-ENT-0019-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0019.READ","info","CN=SS-ENT-0019-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
