"Identity","SamAccountName","DisplayName","ObjectClass","EmployeeId","EmployeeNumber","UserPrincipalName","Mail","Department","Title","Company","Office","AccountEnabled","Manager","ManagerLevel1","ManagerLevel2","ObsPath","ObsAttribute","DistinguishedName"
"ID-217D54F2A1BE","ID-78C883C4E84F","ID-78C883C4E84F","group","","","","","","","","","","","","","","info","ID-E259C755E84C"
"ID-84902EF31400","ID-EDB6F71294B9","ID-EDB6F71294B9","group","","","","","","","","","","","","","","info","ID-4480B928CEF3"
"ID-4764D6C020C7","ID-CFD391887F37","","user","","","","","","","","","True","","","","","info","ID-66AD8E4AF300"
"ID-4CD49768CBBC","ID-2C2B60DD7E5A","ID-2C2B60DD7E5A","group","","","","","","","","","","","","","","info","ID-07C1F24DBB55"
"ID-057D984D0EAE","ID-B64379E5CDF5","ID-B64379E5CDF5","group","","","","","","","","","","","","","ID-79116439B25B","info","ID-91ACE69382F7"
"ID-43A3A913834C","ID-90A633FFFE6D","ID-2A7CF4FB23A7","user","ID-DCA583620E51","ID-CD3B2C55DE04","ID-C8F60E6E29CF","","","","","","True","ID-8376408B2F58","ID-8376408B2F58","ID-A32BC1CEF46D","ID-CEE6E7794F9B","info","ID-4D067B2E5C68"
"ID-0C71E9A64759","ID-597A59E537AB","ID-6F5DF367BBFB","user","ID-E0F8429A2821","ID-0B24A7C90711","ID-43190AAD3BE6","","","","","","True","ID-8376408B2F58","ID-8376408B2F58","ID-A32BC1CEF46D","ID-B1788A34AC39","info","ID-316D97C962D2"
"ID-917EC60BFDBE","ID-ABCF0A6F4408","ID-ABCF0A6F4408","group","","","","","","","","","","","","","ID-F143A4BFE5F6","info","ID-0907FC5A0016"
"ID-2FB3A5B2FA39","ID-C6E9212C6FA7","ID-862204EFC399","user","ID-8051FD207854","ID-373FFCAA36CC","ID-D7CD3B239043","","","","","","True","ID-6CBFBD585371","ID-6CBFBD585371","ID-A32BC1CEF46D","ID-D0AC74E45F53","info","ID-96CA01A8A760"
"ID-EFE28849A80E","ID-97DC2BD00DB3","ID-1671F4B478E2","user","ID-8BCD45972B71","ID-A35344417DCC","ID-FA881D49D233","","","","","","True","ID-A32BC1CEF46D","ID-A32BC1CEF46D","","ID-CB2085650803","info","ID-6CBFBD585371"
